,NAME,URL
160,potionumber9,https://www.etsy.com/il-en/shop/potionumber9?ref=ss_profile
161,aimeestore,https://www.etsy.com/il-en/shop/aimeestore?ref=ss_profile
162,ExlibrisArte,https://www.etsy.com/il-en/shop/ExlibrisArte?ref=ss_profile
163,JazzyMenagerie,https://www.etsy.com/il-en/shop/JazzyMenagerie?ref=ss_profile
164,IzaBelaJewels,https://www.etsy.com/il-en/shop/IzaBelaJewels?ref=ss_profile
165,ADbrdal,https://www.etsy.com/il-en/shop/ADbrdal?ref=ss_profile
166,QueenHandmades,https://www.etsy.com/il-en/shop/QueenHandmades?ref=ss_profile
167,AmeyaaJewelry,https://www.etsy.com/il-en/shop/AmeyaaJewelry?ref=ss_profile
168,Benittamoko,https://www.etsy.com/il-en/shop/Benittamoko?ref=ss_profile
169,MerciDiCulto,https://www.etsy.com/il-en/shop/MerciDiCulto?ref=ss_profile
170,lunaijewelry,https://www.etsy.com/il-en/shop/lunaijewelry?ref=ss_profile
171,CraftchemyGiftShop,https://www.etsy.com/il-en/shop/CraftchemyGiftShop?ref=ss_profile
172,MoonliDesigns,https://www.etsy.com/il-en/shop/MoonliDesigns?ref=ss_profile
173,CollectionsJewellery,https://www.etsy.com/il-en/shop/CollectionsJewellery?ref=ss_profile
174,LaManufactureDesFees,https://www.etsy.com/il-en/shop/LaManufactureDesFees?ref=ss_profile
175,ShortandBaldJewelry2,https://www.etsy.com/il-en/shop/ShortandBaldJewelry2?ref=ss_profile
176,MirabelleJewellery,https://www.etsy.com/il-en/shop/MirabelleJewellery?ref=ss_profile
177,Besbelle,https://www.etsy.com/il-en/shop/Besbelle?ref=ss_profile
178,MayaMor,https://www.etsy.com/il-en/shop/MayaMor?ref=ss_profile
179,AhneJewelry,https://www.etsy.com/il-en/shop/AhneJewelry?ref=ss_profile
180,Ringcrush,https://www.etsy.com/il-en/shop/Ringcrush?ref=ss_profile
181,AdinaStone,https://www.etsy.com/il-en/shop/AdinaStone?ref=ss_profile
182,BeaucoupdeBeads,https://www.etsy.com/il-en/shop/BeaucoupdeBeads?ref=ss_profile
183,Hibiscusdaysuk,https://www.etsy.com/il-en/shop/Hibiscusdaysuk?ref=ss_profile
184,thinkupjewelry,https://www.etsy.com/il-en/shop/thinkupjewelry?ref=ss_profile
185,BeadCreativityByOlia,https://www.etsy.com/il-en/shop/BeadCreativityByOlia?ref=ss_profile
186,CristineLukas,https://www.etsy.com/il-en/shop/CristineLukas?ref=ss_profile
187,CrystalLadyHandmade,https://www.etsy.com/il-en/shop/CrystalLadyHandmade?ref=ss_profile
188,Nahnym,https://www.etsy.com/il-en/shop/Nahnym?ref=ss_profile
189,SpiralsandSpice,https://www.etsy.com/il-en/shop/SpiralsandSpice?ref=ss_profile
190,MikelinaArt,https://www.etsy.com/il-en/shop/MikelinaArt?ref=ss_profile
191,lolabeanjewelry,https://www.etsy.com/il-en/shop/lolabeanjewelry?ref=ss_profile
192,LilysWoodlandFlowers,https://www.etsy.com/il-en/shop/LilysWoodlandFlowers?ref=ss_profile
193,JulieElizabethCo,https://www.etsy.com/il-en/shop/JulieElizabethCo?ref=ss_profile
194,AnnalisJewelry,https://www.etsy.com/il-en/shop/AnnalisJewelry?ref=ss_profile
195,EarthDiamond,https://www.etsy.com/il-en/shop/EarthDiamond?ref=ss_profile
196,primalpainter,https://www.etsy.com/il-en/shop/primalpainter?ref=ss_profile
197,MillyStreet,https://www.etsy.com/il-en/shop/MillyStreet?ref=ss_profile
198,amywaltz,https://www.etsy.com/il-en/shop/amywaltz?ref=ss_profile
199,VenexiaJewelry,https://www.etsy.com/il-en/shop/VenexiaJewelry?ref=ss_profile
200,ShamballaShine,https://www.etsy.com/il-en/shop/ShamballaShine?ref=ss_profile
